Period,op,xoi,EPI,rv,ret
Jan-03,9.451618197,-4.544000942,0.492818375,1.067418503,-3.8
Feb-03,6.198597553,-0.26499518,0.692601395,1.056513235,1
Mar-03,-8.112692578,0.96048226,1.134190674,1.422350492,-7.2
Apr-03,-17.73228027,0.183567254,0.802934494,1.453837756,-2.9
May-03,1.29910465,8.992252122,0.62984581,1.110263784,7.5
Jun-03,5.880136662,0.499500476,0.577182312,1.454940066,13.4
Jul-03,1.445069248,-2.42762204,0.639877396,1.396554637,5.1
Aug-03,3.144758724,3.780200878,0.598491669,1.624086143,11.9
Sep-03,-10.09817578,0.012496199,0.534251938,1.784532171,4.9
Oct-03,6.508616114,2.085726441,0.647146378,1.698379038,10.2
Nov-03,0.630231754,0.96820889,0.405371437,1.519820522,2.8
Dec-03,3.199581189,12.79279005,0.429592094,1.433454535,15.7
Jan-04,4.275493545,0.12079103,0.773104935,1.926710131,-2.5
Feb-04,-0.737805234,5.210782856,0.828178406,1.608097685,-0.5
Mar-04,6.811986567,0.074119337,0.249398251,1.643400486,-1.4
Apr-04,-2.428722932,1.787389702,0.739504089,1.507592761,1.2
May-04,13.93323953,0.023156754,2.296328278,2.479041925,-15.8
Jun-04,-5.17432043,5.274252383,0.484213028,1.591103283,0.8
Jul-04,7.677720964,2.206206868,0.471645317,1.415789326,7.8
Aug-04,11.15915638,-1.894518251,0.831905975,1.249803557,0.4
Sep-04,-1.714014242,8.867024814,0.414608688,1.133713945,7.5
Oct-04,11.29518727,-0.446078181,0.862077866,1.191923784,1.6
Nov-04,-12.22700354,6.702145237,0.509636765,1.133840422,9.9
Dec-04,-10.22983233,-3.103381733,0.508265228,1.15938464,5.9
Jan-05,9.262364255,3.326300934,0.523063316,1.628572457,-0.7
Feb-05,3.917819705,14.44788196,0.607992859,1.097243462,2.4
Mar-05,12.78836957,-1.03506882,0.388253479,1.350667224,-3.3
Apr-05,-0.476757498,-4.296161707,0.902983017,1.519502531,-5.2
May-05,-6.265792544,1.185591006,0.601220665,1.072261166,9.1
Jun-05,12.24015781,7.278123909,0.630202675,1.173681971,7.1
Jul-05,4.419097015,5.903495289,0.664270096,1.24867441,6.1
